ID,NOMBCOMP1,DOMICILIO,COORDX,COORDY,in_food_desert,venta_frutas,venta_verduras,superficie_bodega,num_entregas_general,num_recojos_general,num_lugares,lugar_principal,vehiculo_recojo,num_entregas_fv,num_recojos_fv,num_viajes_lugar_principal,cant_carga,cant_sku,cadena_frio,cant_merma,motivo_no_oferta
627,NEW CONCEPT FOODS S.A.C,AV HUAYLAS C/ PANAMERICANA SUR,-76.97934,-12.22318,1,1,1,2x3,4,2,1,Unicachi,5,0,1,3,20,13,1,0.5,
1507,"BRACAMONTE QUISPE, GUADALUPE",URB VILLA VENECIA PLAYA VENECIA,-76.97375,-12.22727,1,,,,,,,,,,,,,,,,
1533,"MIUCCIO GUTIERREZ, CARLOS DANTE AGUSTIN",URB VILLA VENECIA PLAYA VENECIA Mz.A Lt.18,-76.97374,-12.22732,1,,,,,,,,,,,,,,,,
1767,"BISSO MEZA, MARY HAYDEE",URB VILLA VENECIA Mz.A Lt.4,-76.97362,-12.22838,1,,,,,,,,,,,,,,,,
1471,KANKUN CASA DE RETIRO Y RECREACION S.R.L.,AV PANAMERICANA SUR KM 19.900,-76.97346,-12.22684,1,,,,,,,,,,,,,,,,
616,"GUTIERREZ TAIPE, MARIBEL AYDET",ENTRADA PLAYA VENECIA,-76.97308,-12.22505,1,,,,,,,,,,,,,,,,
591,"ANCALLE SEDANO DE URBINA, JULIA",URB VILLA VENECIA (ENTRADA) KIOSKO 4,-76.97283,-12.22526,1,,,,,,,,,,,,,,,,
24902,"RIOS FREIRE , ARNALDO ELISEO",AV 27 DE DICIEMBRE Nro. 526,-76.97244,-12.19549,0,,,,,,,,,,,,,,,,
593,"LIPA HILCAHUAMAN, ELVA ELENA",ANT.PAN.SUR KM 19.900 (KIOSKO),-76.97112,-12.22656,1,,,,,,,,,,,,,,,,
1510,"INCA HUANACO, CAIRA PAULINO",KM. 20 PEAJE,-76.97086,-12.22684,1,,,,,,,,,,,,,,,,
1528,"INCAHUANACO CAIRA, MARIA",PANAM. SUR KM 20.5 PEAJE,-76.97086,-12.22684,1,,,,,,,,,,,,,,,,
1508,"RUIZ RUIZ, MARITZA MARIBEL",KM.20.5  PEAJE,-76.97075,-12.22702,1,,,,,,,,,,,,,,,,
1493,"RUIZ OTOYA, MARIA YSABEL",MINI MARKET SAN BENITO DE PALE KM. 20 PEAJE,-76.97064,-12.22715,1,,,,,,,,,,,,,,,,
1489,"BAYLON BAYLON, PATRICIA",KM.20 PEAJE CABAYA COPACABANA,-76.97053,-12.2273,1,,,,,,,,,,,,,,,,
624,"INCAHUANACO CAIRA, MARIA",AV PANAMERCANA SUR KM 18.8,-76.97004,-12.2277,1,,,,,,,,,,,,,,,,
1511,"BLANCO PACHECO, GLORIA",AV ANTIG.PANAM. SUR KM.20.5 Mz.Y Lt.4,-76.96972,-12.2276,1,,,,,,,,,,,,,,,,
1473,"IGNACIO CORRALES, PABLO JOSE",COSTADO PEAJE PANAM. SUR KM.20.5,-76.96939,-12.22857,1,,,,,,,,,,,,,,,,
25089,"QUISPITONGO VEGA, ANA",ASC CALIFORNIA Mz.D Lt.19,-76.9685,-12.20588,0,,,,,,,,,,,,,,,,
24844,ALCOVI SAC,ASC VIRGEN DE LA FAMILIA AV LOS FORESTALES Mz.A Lt.1,-76.96375,-12.19611,0,,,,,,,,,,,,,,,,
26030,"GALINDO CONDORI, MAXIMINA",CA LAS DALIAS Mz.B Lt.26,-76.96188,-12.18877,0,,,,,,,,,,,,,,,,
846,"CAPUÂAY PALOMINO , ANISOL HILDA",ASC MARQUEZ DE VILLA    Mz. A Lt. 28,-76.96134,-12.23387,1,,,,,,,,,,,,,,,,
1777,"ALARCON VIVANCO, VICTORIA",TAURING PANAM. SUR KM 21.5,-76.96112,-12.23381,1,,,,,,,,,,,,,,,,
1506,"PAREDES CHOQUE, LEONOR ZENOVIA",URB VILLA EL MILAGRO Mz.Y Lt.2,-76.96101,-12.23599,1,,,,,,,,,,,,,,,,
654,"AGUILLAR ROJAS, GUBERTINA",ASC WASAWASI Mz.C Lt.11,-76.96092,-12.22461,1,,,,,,,,,,,,,,,,
1505,"ALCANTARA GUZMAN, ALEJANDRO",URB VILLA EL MILAGRO Mz.X Lt.4,-76.9609,-12.23596,1,,,,,,,,,,,,,,,,
869,"QUISPE LINARES , LOURDES SANDRA",COO LAS VERTIENTES    Mz. I Lt. 20,-76.96066,-12.22708,1,,,,,,,,,,,,,,,,
